"","default_params"
"LOG10CLVI",1
"LOG10CRESI",1.2
"LOG10CRTI",1.2
"CSTI",0
"LOG10LAII",0.1
"PHENI",0.01
"TILTOTI",1000
"FRTILGI",0.02
"LT50I",-4.7894
"CLAIV",1
"COCRESMX",0.08
"CSTAVM",0.229575
"DAYLB",0.539664
"DAYLP",0.632348
"DLMXGE",0.836974
"FSLAMIN",0.75
"FSMAX",0.893
"HAGERE",0.2
"K",0.4669
"LAICR",3.79569
"LAIEFT",0.2
"LAITIL",0.566455
"LFWIDG",0.0085207
"LFWIDV",0.00491875
"NELLVM",2.09178
"PHENCR",0.495209
"PHY",45.09
"RDRSCO",0.0712247
"RDRSMX",0.06
"RDRTEM",0.00102573
"RGENMX",0.0108797
"ROOTDM",0.95
"RRDMAX",0.012
"RUBISC",3.7803
"SHAPE",0.538907
"SIMAX1T",0.005471
"SLAMAX",0.0781
"TBASE",2.766
"TCRES",2.639
"TOPTGE",21.37
"TRANCO",6.435
"YG",0.8759
"LAT",58
"WCI",0.4
"FWCAD",0.011363636
"FWCWP",0.35
"FWCFC",0.75
"FWCWET",1
"WCST",0.44
"WpoolMax",50
"Dparam",0.003
"FGAS",0.4175
"FO2MX",0.2008
"gamma",68.86
"Hparam",0.02
"KRDRANAER",0.6396
"KRESPHARD",0.02244
"KRSR3H",0.9618
"KRTOTAER",1.775
"KSNOW",0.03871
"LAMBDAsoil",199000
"LDT50A",1.555
"LDT50B",-2.172
"LT50MN",-25.47
"LT50MX",-4.544
"RATEDMX",1.81
"reHardRedDay",133.7
"RHOnewSnow",85.86
"RHOpack",0.02187
"SWret",0.08415
"SWrf",0.0104
"THARDMX",20
"TmeltFreeze",0
"TrainSnow",0.01062
"TsurfDiff",3.353
"KLUETILG",0.5787
"FRTILGG1I",0.5648
"DAYLG1G2",0.6302
"RGRTG1G2",0.8237
"RDRTMIN",0.01209
"TVERN",20
"CLITT0",300
"CSOM0",16000
"CNLITT0",50
"CNSOMF0",15
"CNSOMS0",25
"FCSOMF0",0.3
"FLITTSOMF",0.6
"FSOMFSOMS",0.03
"RNLEACH",0.5
"KNEMIT",5e-04
"NMIN0",2
"TCLITT",365
"TCSOMF",1460
"TCSOMS",73000
"TMAXF",50
"TSIGMAF",20
"RFN2O",8.5
"WFPS50N2O",0.7
"NCSHMAX",0.06934
"NCR",0.02195
"RDRROOT",0.02
"RDRSTUB",0.2086
"NFERTMULT",1
"FNCGSHMIN",0.327
"TCNSHMOB",7.643
"TCNUPT",27.6
"F_DIGEST_WALL_FMIN",0.7
"F_DIGEST_WALL_MAX",0.9
"F_WALL_LV_FMIN",0.7
"F_WALL_LV_MAX",0.6
"F_WALL_ST_FMIN",0.8
"F_WALL_ST_MAX",0.75
"CLVDI",0
"YIELDI",0
"CSTUBI",0
"DRYSTORI",0
"FdepthI",0
"SDEPTHI",0
"TANAERI",0
"WAPLI",0
"WAPSI",0
"WASI",0
"WETSTORI",0
"NRTI",0.0263
"NSHI",0.0677
"TILG1I",11
"TILG2I",9
"TILVI",980
"WALI",380
"O2I",3.5555
"CSOMF0",4800
"CSOMS0",11200
"NLITT0",6
"NSOMF0",320
"NSOMS0",448
"use_yasso",0
"use_nitrogen",1
"cn_h_min",10                                                                                                                       
"totc_init",16000                                                                                                                   
"fract_legacy_c",0.0
"hist_mean_tempr",5.0
"hist_yearly_precip",600
"hist_tempr_ampl",10
"yasso_alpha_a",0.51
"yasso_alpha_w",5.19
"yasso_alpha_e",0.13
"yasso_alpha_n",0.10
"yasso_beta_1",0.158
"yasso_beta_2",-0.002
"yasso_rate_pc",0.0
"yasso_tresp_pc",0.0
"CSOM_A",-10.0
"CSOM_W",-10.0
"CSOM_E",-10.0
"CSOM_N",-10.0
"CSOM_H",-10.0
"NSOM",-10.0
"TEMPR30",5.0
"PRECIP30",1.5
